1297618,524,8/1/2016 7:45,Temporary Transbay Terminal (Howard at Beale),55,8/1/2016 7:54,Embarcadero at Sansome,60,137,Subscriber,94105,Weekday
1297621,609,8/1/2016 7:48,Temporary Transbay Terminal (Howard at Beale),55,8/1/2016 7:58,2nd at Townsend,61,484,Subscriber,94602,Weekday
1297622,575,8/1/2016 7:48,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 7:57,Temporary Transbay Terminal (Howard at Beale),55,613,Subscriber,95050,Weekday
1297623,373,8/1/2016 7:48,Post at Kearny,47,8/1/2016 7:54,2nd at South Park,64,478,Subscriber,94118,Weekday
1297625,499,8/1/2016 7:48,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 7:57,Spear at Folsom,49,629,Subscriber,95126,Weekday
1297626,712,8/1/2016 7:48,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 8:00,Mechanics Plaza (Market at Battery),75,315,Subscriber,94303,Weekday
1297627,667,8/1/2016 7:48,Steuart at Market,74,8/1/2016 8:00,2nd at Townsend,61,599,Subscriber,94960,Weekday
1297628,188,8/1/2016 7:48,Market at 4th,76,8/1/2016 7:52,5th at Howard,57,448,Subscriber,94112,Weekday
1297629,628,8/1/2016 7:48,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 7:59,Harry Bridges Plaza (Ferry Building),50,537,Subscriber,94002,Weekday
1297630,503,8/1/2016 7:49,Steuart at Market,74,8/1/2016 7:57,2nd at Townsend,61,587,Subscriber,94611,Weekday
1297631,757,8/1/2016 7:49,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 8:01,Mechanics Plaza (Market at Battery),75,348,Subscriber,94404,Weekday
1297632,820,8/1/2016 7:50,Mechanics Plaza (Market at Battery),75,8/1/2016 8:03,2nd at Townsend,61,147,Subscriber,94556,Weekday
1297633,252,8/1/2016 7:50,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 7:54,Townsend at 7th,65,471,Subscriber,95030,Weekday
1297634,719,8/1/2016 7:50,2nd at Townsend,61,8/1/2016 8:02,Mechanics Plaza (Market at Battery),75,485,Subscriber,94105,Weekday
1297635,779,8/1/2016 7:50,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:03,Harry Bridges Plaza (Ferry Building),50,525,Subscriber,95136,Weekday
1297636,598,8/1/2016 7:51,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:01,Yerba Buena Center of the Arts (3rd @ Howard),68,165,Subscriber,95125,Weekday
1297637,749,8/1/2016 7:51,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:03,Temporary Transbay Terminal (Howard at Beale),55,455,Subscriber,94043,Weekday
1297638,482,8/1/2016 7:51,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 7:59,Yerba Buena Center of the Arts (3rd @ Howard),68,462,Subscriber,95032,Weekday
1297639,2041,8/1/2016 7:51,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 8:25,Market at Sansome,77,643,Subscriber,95070,Weekday
1297640,431,8/1/2016 7:51,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 7:58,Temporary Transbay Terminal (Howard at Beale),55,283,Subscriber,94303,Weekday
1297641,826,8/1/2016 7:51,Post at Kearny,47,8/1/2016 8:05,Townsend at 7th,65,311,Subscriber,94947,Weekday
1297642,822,8/1/2016 7:52,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 8:05,Powell Street BART,39,335,Subscriber,94102,Weekday
1297643,499,8/1/2016 7:52,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 8:00,Embarcadero at Folsom,51,624,Subscriber,94303,Weekday
1297644,211,8/1/2016 7:52,Temporary Transbay Terminal (Howard at Beale),55,8/1/2016 7:56,Clay at Battery,41,522,Subscriber,94501,Weekday
1297645,226,8/1/2016 7:52,Steuart at Market,74,8/1/2016 7:56,Broadway St at Battery St,82,602,Subscriber,94702,Weekday
1297646,989,8/1/2016 7:52,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 8:09,Harry Bridges Plaza (Ferry Building),50,709,Subscriber,94087,Weekday
1297647,960,8/1/2016 7:53,South Van Ness at Market,66,8/1/2016 8:09,Embarcadero at Sansome,60,449,Subscriber,94102,Weekday
1297648,860,8/1/2016 7:53,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:08,Post at Kearny,47,356,Subscriber,94002,Weekday
1297649,762,8/1/2016 7:54,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 8:06,Harry Bridges Plaza (Ferry Building),50,570,Subscriber,93401,Weekday
1297652,247,8/1/2016 7:55,Temporary Transbay Terminal (Howard at Beale),55,8/1/2016 7:59,2nd at Townsend,61,259,Subscriber,94611,Weekday
1297655,429,8/1/2016 7:56,Harry Bridges Plaza (Ferry Building),50,8/1/2016 8:03,2nd at Folsom,62,666,Subscriber,94558,Weekday
1297656,614,8/1/2016 7:57,Harry Bridges Plaza (Ferry Building),50,8/1/2016 8:07,Embarcadero at Sansome,60,573,Subscriber,94122,Weekday
1297662,646,8/1/2016 7:58,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:09,Steuart at Market,74,106,Subscriber,94158,Weekday
1297663,659,8/1/2016 7:58,Harry Bridges Plaza (Ferry Building),50,8/1/2016 8:09,San Francisco Caltrain (Townsend at 4th),70,445,Subscriber,94591,Weekday
1297664,508,8/1/2016 7:58,Harry Bridges Plaza (Ferry Building),50,8/1/2016 8:07,2nd at South Park,64,561,Subscriber,94510,Weekday
1297665,481,8/1/2016 7:59,Ryland Park,84,8/1/2016 8:07,Santa Clara County Civic Center,80,124,Subscriber,95112,Weekday
1297666,659,8/1/2016 7:59,Market at Sansome,77,8/1/2016 8:10,Townsend at 7th,65,378,Subscriber,94510,Weekday
1297667,672,8/1/2016 7:59,Golden Gate at Polk,59,8/1/2016 8:10,Townsend at 7th,65,404,Subscriber,94109,Weekday
1297668,644,8/1/2016 8:00,Temporary Transbay Terminal (Howard at Beale),55,8/1/2016 8:11,Civic Center BART (7th at Market),72,283,Subscriber,94608,Weekday
1297669,279,8/1/2016 8:01,2nd at South Park,64,8/1/2016 8:05,San Francisco Caltrain (Townsend at 4th),70,420,Subscriber,94107,Weekday
1297671,464,8/1/2016 8:03,Embarcadero at Bryant,54,8/1/2016 8:11,Embarcadero at Vallejo,48,497,Subscriber,94105,Weekday
1297672,792,8/1/2016 8:04,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:17,Beale at Market,56,104,Subscriber,94070,Weekday
1297673,347,8/1/2016 8:04,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:10,Howard at 2nd,63,630,Subscriber,10014-3875,Weekday
1297674,878,8/1/2016 8:04,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:19,Embarcadero at Vallejo,48,457,Subscriber,94401,Weekday
1297675,590,8/1/2016 8:04,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:14,Steuart at Market,74,366,Subscriber,94158,Weekday
1297676,370,8/1/2016 8:04,Market at Sansome,77,8/1/2016 8:11,2nd at Townsend,61,548,Subscriber,94596,Weekday
1297677,636,8/1/2016 8:04,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 8:15,Embarcadero at Folsom,51,465,Subscriber,94401,Weekday
1297678,934,8/1/2016 8:04,Temporary Transbay Terminal (Howard at Beale),55,8/1/2016 8:20,Townsend at 7th,65,289,Subscriber,94602,Weekday
1297679,574,8/1/2016 8:04,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:14,Post at Kearny,47,659,Subscriber,94306,Weekday
1297680,649,8/1/2016 8:05,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:16,Market at Sansome,77,519,Subscriber,94402,Weekday
1297681,636,8/1/2016 8:05,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:15,Embarcadero at Folsom,51,406,Subscriber,94010,Weekday
1297682,638,8/1/2016 8:05,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:16,Harry Bridges Plaza (Ferry Building),50,409,Subscriber,94107,Weekday
1297683,933,8/1/2016 8:05,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 8:20,Embarcadero at Vallejo,48,540,Subscriber,94065,Weekday
1297685,385,8/1/2016 8:05,Steuart at Market,74,8/1/2016 8:12,2nd at Townsend,61,614,Subscriber,94706,Weekday
1297686,686,8/1/2016 8:06,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 8:17,Market at Sansome,77,282,Subscriber,94403,Weekday
1297687,227,8/1/2016 8:06,San Jose Diridon Caltrain Station,2,8/1/2016 8:09,Santa Clara at Almaden,4,261,Subscriber,94107,Weekday
1297688,858,8/1/2016 8:06,Temporary Transbay Terminal (Howard at Beale),55,8/1/2016 8:21,Grant Avenue at Columbus Avenue,73,267,Subscriber,94611,Weekday
1297689,526,8/1/2016 8:06,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:15,Embarcadero at Folsom,51,494,Subscriber,94024,Weekday
1297690,426,8/1/2016 8:06,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 8:14,Howard at 2nd,63,420,Subscriber,94070,Weekday
1297691,531,8/1/2016 8:07,Market at Sansome,77,8/1/2016 8:16,San Francisco Caltrain (Townsend at 4th),70,447,Subscriber,94111,Weekday
1297692,566,8/1/2016 8:07,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:17,Embarcadero at Folsom,51,425,Subscriber,94040,Weekday
1297693,553,8/1/2016 8:08,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:17,Steuart at Market,74,443,Subscriber,94070,Weekday
1297694,653,8/1/2016 8:08,Market at 10th,67,8/1/2016 8:19,Commercial at Montgomery,45,92,Subscriber,94103,Weekday
1297695,601,8/1/2016 8:08,Temporary Transbay Terminal (Howard at Beale),55,8/1/2016 8:18,San Francisco Caltrain (Townsend at 4th),70,613,Subscriber,94702,Weekday
1297696,296,8/1/2016 8:08,Mechanics Plaza (Market at Battery),75,8/1/2016 8:13,Temporary Transbay Terminal (Howard at Beale),55,482,Subscriber,94105,Weekday
1297697,1350,8/1/2016 8:08,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:31,Davis at Jackson,42,394,Subscriber,94303,Weekday
1297698,254,8/1/2016 8:09,Harry Bridges Plaza (Ferry Building),50,8/1/2016 8:13,Mechanics Plaza (Market at Battery),75,525,Subscriber,94105,Weekday
1297700,622,8/1/2016 8:09,2nd at Townsend,61,8/1/2016 8:19,Embarcadero at Vallejo,48,147,Subscriber,94107,Weekday
1297702,840,8/1/2016 8:09,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:23,Temporary Transbay Terminal (Howard at Beale),55,345,Customer,94063,Weekday
1297703,635,8/1/2016 8:09,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:20,Market at 10th,67,488,Subscriber,94087,Weekday
1297705,615,8/1/2016 8:09,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:19,Steuart at Market,74,492,Subscriber,94043,Weekday
1297706,939,8/1/2016 8:10,Steuart at Market,74,8/1/2016 8:25,Townsend at 7th,65,470,Subscriber,94502,Weekday
1297707,1075,8/1/2016 8:10,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 8:28,Commercial at Montgomery,45,132,Subscriber,94087,Weekday
1297708,340,8/1/2016 8:10,Embarcadero at Bryant,54,8/1/2016 8:16,Mechanics Plaza (Market at Battery),75,43,Subscriber,94103,Weekday
1297710,1485,8/1/2016 8:11,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 8:35,Embarcadero at Sansome,60,111,Subscriber,94065,Weekday
1297712,914,8/1/2016 8:11,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:26,Beale at Market,56,310,Subscriber,95125,Weekday
1297713,427,8/1/2016 8:11,Powell Street BART,39,8/1/2016 8:18,San Francisco Caltrain 2 (330 Townsend),69,412,Subscriber,94118,Weekday
1297714,713,8/1/2016 8:11,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:23,Embarcadero at Folsom,51,193,Subscriber,94087,Weekday
1297715,1018,8/1/2016 8:11,San Francisco Caltrain (Townsend at 4th),70,8/1/2016 8:28,Embarcadero at Vallejo,48,445,Subscriber,94070,Weekday
1297716,609,8/1/2016 8:12,Harry Bridges Plaza (Ferry Building),50,8/1/2016 8:22,2nd at Townsend,61,546,Subscriber,94501,Weekday
1297717,544,8/1/2016 8:12,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:21,Market at Sansome,77,313,Subscriber,94086,Weekday
1297718,240,8/1/2016 8:12,Temporary Transbay Terminal (Howard at Beale),55,8/1/2016 8:16,Steuart at Market,74,439,Subscriber,95620,Weekday
1297719,333,8/1/2016 8:12,Market at Sansome,77,8/1/2016 8:18,2nd at Townsend,61,552,Subscriber,94523,Weekday
1297720,477,8/1/2016 8:13,Civic Center BART (7th at Market),72,8/1/2016 8:21,Townsend at 7th,65,302,Subscriber,94598,Weekday
1297721,900,8/1/2016 8:13,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:28,Broadway St at Battery St,82,275,Subscriber,95130,Weekday
1297722,1234,8/1/2016 8:13,Powell Street BART,39,8/1/2016 8:34,Embarcadero at Vallejo,48,538,Customer,95134,Weekday
1297723,1026,8/1/2016 8:13,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:30,Embarcadero at Sansome,60,402,Subscriber,94022,Weekday
1297724,275,8/1/2016 8:13,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:18,Townsend at 7th,65,211,Customer,nil,Weekday
1297725,713,8/1/2016 8:14,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:26,Market at 10th,67,421,Subscriber,94025,Weekday
1297726,885,8/1/2016 8:14,Embarcadero at Folsom,51,8/1/2016 8:29,Townsend at 7th,65,312,Subscriber,94577,Weekday
1297728,261,8/1/2016 8:15,2nd at South Park,64,8/1/2016 8:20,San Francisco Caltrain (Townsend at 4th),70,478,Subscriber,94105,Weekday
1297729,390,8/1/2016 8:15,Grant Avenue at Columbus Avenue,73,8/1/2016 8:21,Temporary Transbay Terminal (Howard at Beale),55,615,Subscriber,94133,Weekday
1297730,1057,8/1/2016 8:16,San Francisco Caltrain 2 (330 Townsend),69,8/1/2016 8:33,Embarcadero at Vallejo,48,277,Subscriber,95148,Weekday
1297731,205,8/1/2016 8:16,2nd at South Park,64,8/1/2016 8:19,San Francisco Caltrain (Townsend at 4th),70,155,Subscriber,94102,Weekday
1297732,887,8/1/2016 8:16,Townsend at 7th,65,8/1/2016 8:31,Temporary Transbay Terminal (Howard at Beale),55,311,Subscriber,94107,Weekday
1297733,448,8/1/2016 8:16,Civic Center BART (7th at Market),72,8/1/2016 8:24,San Francisco Caltrain 2 (330 Townsend),69,283,Subscriber,94109,Weekday
1297734,375,8/1/2016 8:17,Steuart at Market,74,8/1/2016 8:24,Embarcadero at Sansome,60,106,Subscriber,94595,Weekday
